station_id,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,altim_in_hg
LMML,35.858,14.477,28,12,210,4,29.88
KUES,43.0425,-88.2465,27,10,0,0,30.14
KTZR,39.8988,-83.1357,31,18,180,3,30.11
KSWF,41.5045,-74.0999,29,19,250,8,30.16
KMWC,43.1095,-88.0343,28,13,120,7,30.14
KLOT,41.6031,-88.1017,30,18,90,3,30.11
KGYY,41.6121,-87.4091,26,26,10,10,30.12
KFMH,41.6608,-70.5221,28,24,220,17,30.20
KBOW,27.9471,-81.7811,34,21,300,13,30.06
KBAK,39.2664,-85.8926,29,19,250,4,30.09
KANR,27.2264,-91.19,36,24,90,4,30.21
YLHI,-31.538,159.077,20,16,290,11,29.68
USCM,53.393,58.756,18,17,20,21,29.53
PAVA,61.537,-165.604,10,10,100,13,29.43
KHEF,38.724,-77.5175,26,22,0,0,30.16
KGAI,39.1696,-77.1653,,,150,4,30.18
KPQI,46.697,-68.054,23,21,0,0,30.09
KGED,38.6898,-75.3625,22.2,22.2,230,8,30.18
KFLO,34.1877,-79.7308,25,25,340,7,30.07
KBOK,42.0754,-124.29,14,12,180,3,29.95
CYQT,48.374,-89.33,32,16,190,8,29.96
CYKL,54.803,-66.804,12,11,330,7,29.84
YPAD,-34.952,138.52,10,9,50,6,30.09
PAYA,59.512,-139.671,12.2,11.1,120,6,30.15
KWAL,37.9372,-75.4662,23.3,22.8,270,6,30.19
KNAK,38.9913,-76.4891,26.1,23.3,80,4,30.14
KEKQ,36.8576,-84.8562,31,19,VRB,5,30.13
KDVL,48.1136,-98.9034,28,22,VRB,4,29.92
CYTZ,43.627,-79.397,26,19,180,6,30.11
CYKP,51.659,-85.901,20,15,360,10,29.97
PAKH,56.94,-154.181,11,10,120,20,29.72
KSFY,42.0454,-90.1101,29,17,110,4,30.11
KPKV,28.6499,-96.6799,33,23,180,5,30.07
KOWD,42.1912,-71.1732,28.9,25,240,9,30.16
KJFK,40.6392,-73.7639,,,190,7,30.17
KHWV,40.8212,-72.8674,26.1,23.3,200,10,30.18
KHFD,41.7352,-72.6512,28.3,22.8,160,10,30.14
